track_id,track_name,artist_name,danceability,energy,tempo,valence
56AMYGJzxBO6p8v0wEe9de,Hot (Remix) [feat. Gunna and Travis Scott],"Young Thug, Travis Scott, Gunna",0.845,0.631,111.983,0.545
09nSCeCs6eYfAIJVfye1CE,Oye,"TINI, Sebastian Yatra",0.683,0.51,95.08,0.255
6SUocL0caib4mLHe8ZrZzi,Sun Comes Up (feat. James Arthur),"Rudimental, James Arthur",0.619,0.858,106.017,0.23
5goGDc74vVREyN8al8CkPh,Diplomatic Immunity,Drake,0.655,0.839,74.867,0.55
3QFInJAm9eyaho5vBzxInN,family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",0.711,0.611,134.093,0.144
3WlbeuhfRSqU7ylK2Ui5U7,Snowchild,The Weeknd,0.55,0.611,148.062,0.243
1c1sdxrYLIiuJOlE7PPttb,Love Me Now (feat. Zoe Wees),"Kygo, Zoe Wees",0.662,0.489,102.04,0.506
4lRwa7PKcGIuJMwtPIYKdy,Anpanman,BTS,0.813,0.875,99.004,0.756
26hOm7dTtBi0TdpDGl141t,Die For You,Joji,0.472,0.518,147.805,0.154
0tdCy39PgWN8LFWu34ORn3,Rap Saved Me (feat. Quavo),"21 Savage, Offset, Metro Boomin, Quavo",0.845,0.399,143.049,0.148
5HeKOKc4phmLn8e4I7EkzD,My Blood,Twenty One Pilots,0.749,0.723,108.999,0.674
6WbTTAGKrQtCQvmc5BuYfh,Girls in the Hood,Megan Thee Stallion,0.821,0.863,180.013,0.874
4R8BJggjosTswLxtkw8V7P,No Me Conoce - Remix,"Jhayco, J Balvin, Bad Bunny",0.806,0.786,91.973,0.58
02FaKXXL7KUtRc7K0k54tL,Cozy Little Christmas,Katy Perry,0.774,0.608,137.494,0.56
58zsLZPvfflaiIbNWoA22O,Human,Rag'n'Bone Man,0.602,0.707,75.087,0.554
0d0d2CuQSQDF7Q7vNhwA3i,Neymar,"Capital Bra, Ufo361",0.749,0.66,123.96,0.542
0hDE81j4N2DPLbEY4tiCDs,LA BABY,"Tainy, Daddy Yankee, Feid, Sech",0.75,0.83,104.937,0.688
1OmcAT5Y8eg5bUPv9qJT4R,rockstar (feat. 21 Savage),"Post Malone, 21 Savage",0.58,0.531,159.786,0.141
6YZdkObH88npeKrrkb8Ggf,DUELE EL CORAZON (feat. Wisin),"Enrique Iglesias, Wisin",0.716,0.908,91.03,0.869
6gcuJpHu0Ey30D5WR76y98,You & Me,JENNIE,0.787,0.573,111.996,0.575
1Bf8wk84B42gGewriwJlT9,MONTAGEM - PR FUNK,"S3BZS, Mc Gw, Mc Menor Do Alvorada",0.88,0.798,130.083,0.793
35wvL50xvKpCHEJPxLOLPI,Si Estuviésemos Juntos,Bad Bunny,0.672,0.594,171.854,0.158
2uBhGx3m5iJrtsql8Qk00j,Levitate,Twenty One Pilots,0.7,0.934,92.973,0.224
1fLhGF1JfGQYj6EZLndD86,Baby (feat. MARINA & Luis Fonsi),"Clean Bandit, MARINA, Luis Fonsi",0.755,0.74,116.946,0.33
1hg3RlqFZXJb5YgRoK9qmF,Gangstas,Pop Smoke,0.548,0.506,119.987,0.557
2CeKVsFFXG4QzA415QygGb,Feliz Cumpleaños Ferxxo,Feid,0.865,0.573,94.999,0.563
5ydjxBSUIDn26MFzU3asP4,Rainy Days,V,0.633,0.454,74.828,0.282
01qFKNWq73UfEslI0GvumE,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",0.853,0.824,108.044,0.888
6L4XGeAdRRC32vVJpp8MdM,Face 2 Face,Juice WRLD,0.711,0.72,155.997,0.437
0YWUHZPJVg4iujddsJDwhM,My Only Wish (This Year),Britney Spears,0.669,0.843,147.08,0.702
5oH4DQAuu1J1800RzUsBWa,That That (prod.&feat. SUGA of BTS),"PSY, SUGA",0.905,0.962,129.969,0.906
06JvOZ39sK8D8SqiqfaxDU,True Love,"Kanye West, XXXTENTACION",0.712,0.861,84.042,0.388
2tFwfmceQa1Y6nRPhYbEtC,CÓMO SE SIENTE - Remix,"Jhayco, Bad Bunny",0.807,0.606,92.988,0.304
3tDqEKKUs6gf8zMvSuLyLA,Commercial (feat. Lil Uzi Vert),"Lil Baby, Lil Uzi Vert",0.892,0.486,120.998,0.535
65irrLqfCMRiO3p87P4C0D,Frosty The Snowman,Ella Fitzgerald,0.579,0.502,76.816,0.836
615vw74T1NebV8pKoutm2J,Righteous,Juice WRLD,0.706,0.625,142.948,0.225
2uflssWlCaJ6CbTMOsUpNI,Aguacero,Bad Bunny,0.861,0.645,121.391,0.668
2aksifNn5ph8igDOkPBA02,Love On The Brain,Rihanna,0.509,0.637,172.006,0.378
6tHWl8ows5JOZq9Yfaqn3M,Mine,Bazzi,0.716,0.805,142.886,0.719
6Vgtvd7I5yopJdBuxqjBd2,Your Man,Joji,0.785,0.818,117.98,0.0503
6o79O9qBP3OAkWOXajAQIS,WAKA (feat. A Boogie Wit da Hoodie),"6ix9ine, A Boogie Wit da Hoodie",0.772,0.812,97.407,0.655
340UVheS8z3ncW9TTUhAbc,Nightmare,Halsey,0.611,0.622,146.11,0.538
3uc8AGNL0KbvISIrjnfRvN,Mean It,"Lauv, LANY",0.746,0.45,95.998,0.336
4BGmYEDOK1swwoxTtfmVZD,Peace & Love,"Charlie Charles, Sfera Ebbasta, Ghali",0.68,0.785,152.962,0.319
5a6pdCHlWS2ekOOQ70QnAr,July,Noah Cyrus,0.708,0.186,72.541,0.321
3sW3oSbzsfecv9XoUdGs7h,Enchanted (Taylor's Version),Taylor Swift,0.505,0.532,81.907,0.216
5LOiuvbH62YGtnwe6Ltt4T,Mirror,Kendrick Lamar,0.652,0.67,91.933,0.274
44XjoNvtwevktFKjvVe1vH,Andrea,"Bad Bunny, Buscabulla",0.797,0.616,103.071,0.451
3DKpA54hrFIdPN6AtL9HXa,I'll Never Love Again - Film Version - Radio Edit,"Lady Gaga, Bradley Cooper",0.45,0.335,109.908,0.25
0f1G5SHFoFC9lO03gHCGVS,Pretty Boy (feat. Lil Yachty),"Joji, Lil Yachty",0.656,0.776,156.049,0.638
7COfe3P7KgfwDwIRB8LIDw,Mi Gente,"J Balvin, Willy William",0.548,0.704,104.666,0.288
4NCsrTzgVfsDo8nWyP8PPc,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",0.723,0.704,105.095,0.684
6jreFSOTUAViWjKyzOC4Kg,REMEDY,Alesso,0.601,0.775,119.964,0.483
1nltpRhEiXikwDlVn4UADk,One Right Now (with The Weeknd),"Post Malone, The Weeknd",0.682,0.764,97.023,0.701
